Year,Avg Price,Min Price,Max Price,Avg Volume,Min Volume,Min Volume,Max Volume
1982,0.09240688620689656,0.049107,0.155692,106924932.4137931,17561600.0,17561600.0,357078400.0
1983,0.14001779722921912,0.049107,0.282366,150892437.27959698,1388800.0,1388800.0,2832345600.0
1984,0.13224374036979958,0.049107,0.282366,156753681.3559322,1388800.0,1388800.0,2832345600.0
1985,0.12069539444444428,0.049107,0.282366,163389009.7777778,1388800.0,1388800.0,2832345600.0
1986,0.12597077083333325,0.049107,0.282366,173833255.55555555,1388800.0,1388800.0,2832345600.0
1987,0.1659071413817663,0.049107,0.533482,185118482.05128205,1388800.0,1388800.0,2832345600.0
1988,0.1970877258454107,0.049107,0.533482,181684134.29951692,1388800.0,1388800.0,2832345600.0
1989,0.22008732118510765,0.049107,0.533482,184412551.65180913,1388800.0,1388800.0,2832345600.0
1990,0.23350346294580832,0.049107,0.533482,183368910.79203334,1388800.0,1388800.0,2832345600.0
1991,0.2580951281625882,0.049107,0.654018,187924572.3766072,1388800.0,1388800.0,2832345600.0
1992,0.2800277471846847,0.049107,0.654018,185431841.44144145,1388800.0,1388800.0,2832345600.0
1993,0.28743319393004113,0.049107,0.654018,188722296.84499314,1388800.0,1388800.0,2832345600.0
1994,0.2887691622987057,0.049107,0.654018,191755157.56236187,1388800.0,1388800.0,2832345600.0
1995,0.2941812887653604,0.049107,0.654018,199371344.1778818,1388800.0,1388800.0,2832345600.0
1996,0.2892504459275406,0.049107,0.654018,200083405.2846636,1388800.0,1388800.0,2832345600.0
1997,0.2809837702013768,0.049107,0.654018,205538217.4866174,1388800.0,1388800.0,4190480000.0
1998,0.28050777264015375,0.049107,0.654018,220604339.24293244,1388800.0,1388800.0,4190480000.0
1999,0.29385270531073504,0.049107,1.053571,238859284.24858758,1388800.0,1388800.0,4190480000.0
2000,0.3219688748930716,0.049107,1.342634,251650584.4311377,1388800.0,1388800.0,7421640800.0
2001,0.3239269599837501,0.049107,1.342634,258160393.5811497,1388800.0,1388800.0,7421640800.0
2002,0.3247631560688059,0.049107,1.342634,260419027.4449169,1388800.0,1388800.0,7421640800.0
2003,0.3250556328110602,0.049107,1.342634,261466704.51612905,1388800.0,1388800.0,7421640800.0
2004,0.33874034478506,0.049107,1.342634,271337896.124031,1388800.0,1388800.0,7421640800.0
2005,0.39501280833473956,0.049107,2.695,290504958.4612789,1388800.0,1388800.0,7421640800.0
